symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
KUN,1822473.87,1198974.68,343199.96,622301.71,996388.8,801001.39,203083.81,195387.41,155786.08,0.23,-484873.61,8642.45,512742,36510.83,27.47,13.68,32.21,15.63,19.61,1.92,1048.78,2.28,0.24,12.9,0.7,0.65,558.95,52.8,6.91,3.43,106.56,459.3,0
KWM,730862.04,228883.45,210000,494955.01,572784.51,479316.79,114549.48,94408.99,83189.15,0.2,-51263.38,-66711.47,146412.95,28438.1,19.37,15.65,24.15,14.46,16.48,0.46,25.25,2.78,1.3,3.3,0.95,2.19,166.36,6.21,58.8,14.01,26.05,199.11,0
LDC,467924.2,257542.46,150000,210381.74,372145.74,384348.18,40618.66,-12202.44,-23838.16,-0.04,42016.42,-25563.88,-20171.46,-3718.91,-10.71,-2.48,12.07,-6.41,-3.28,1.22,-0.78,1.98,1.29,1.67,0.76,15.15,24.1,35.08,10.41,8.58,42.56,-8.06,0
LEO,1610843.89,820814.26,160000,771770.45,3369660.41,3148813.94,264294.73,246266.29,198806.63,0.62,-301936.66,279604.86,84439.11,62107.31,28.68,18.98,19.34,5.93,7.31,1.04,49.67,1.9,1.87,29.26,2.6,,-,5.31,68.8,9.77,37.37,31.43,0
LIT,2157121.78,1217523.9,221449.46,939597.74,331388.55,363290.71,-20533.57,-31902.16,-95492.64,-0.43,383683.32,5711.8,-365955.17,23439.95,-9.48,-1.33,56.81,-28.82,-9.63,1.3,-0.37,1.66,0.09,-,0.14,,-,,-,,-,-,1
MBAX,1466162.47,916327.23,191895.14,549835.24,1501136.55,1394749.02,173565.15,95016.42,62408.3,0.33,40601.16,-39076.04,-10384.32,-8859.19,10.9,6.52,11.29,4.16,6.33,1.67,4.36,0.99,0.49,2.41,1.03,3.61,101.04,5.19,70.34,5.24,69.67,101.71,0
META,5886132.53,3742516.73,1651175.66,2054477.01,89112.59,164175.47,-47441.32,-57351.1,-100127.51,-0.07,-77382.84,-146440.65,247960.3,24136.8,-5.27,-1.04,4.1,-112.15,-64.36,1.75,-1.35,1.32,0.51,3.25,0.02,,-,0.04,9078.55,0.03,10771.56,-1693.02,1
MGT,855737.56,208030.42,200000,540644.44,951923.35,805525.83,159850.99,145762.3,105252.55,0.26,64224.27,29204.01,-68412.27,25016.01,20.72,20.22,28.66,12.03,15.31,0.32,131.76,3.31,2.1,7.28,1.32,5.6,65.22,5.36,68.09,12.92,28.26,105.06,0
MITSIB,1573558.42,845077.17,375187.18,728480.57,555706.55,503468.4,63565.89,48843.38,12953.13,0.02,9701.26,-741.02,36242.63,45202.88,1.75,3.2,28.44,2.33,8.79,1.16,1.65,1.64,0.16,-,0.36,,-,,-,,-,-,0
MOONG,1364857.74,304115.98,168722.63,1060741.75,813592.26,789746.45,103189.79,86304.34,82308.51,0.49,70407.47,22507.71,-39552.01,53363.17,8.88,7.29,39.19,10.12,10.61,0.29,200.91,1.76,1.37,18.41,0.69,5.46,66.84,4.36,83.78,2.49,146.78,3.84,0
MORE,1628123,173024.92,326543.58,1438832.93,143727.64,136345.86,1169825.33,1161180.02,1158671.61,0.18,-619.94,-12061.17,16051.06,3369.95,134.93,107.59,22.16,805.48,807.9,0.12,431.23,0.29,0.17,1.76,0.13,5.6,65.2,5.86,62.29,0.88,416.15,-288.65,0
MUD,4896555.9,2786668.87,1053386.75,2150829.19,2316400.78,2333630.28,424414.75,-17229.5,-101096.27,-0.1,411238.96,-250092.95,-96258.9,64887.12,-4.58,-0.36,60.88,-4.8,-0.74,1.32,-0.17,0.48,0.28,2.28,0.48,5.18,70.52,17.82,20.48,2.16,169.26,-78.26,0
MVP,403151.4,173865.63,124205.85,229811,242439.04,261081.33,53072.06,29744.08,45303.46,0.21,-27817.71,-6575.55,40436.34,6043.09,25.44,8.59,33.41,2.3,12.27,0.76,3.79,2.68,1.91,2.17,0.7,13.85,26.36,1.69,216.44,3.11,117.46,125.34,0
NCL,1052526.51,617358.51,116538.06,413660.5,1928519.8,1789543.49,181056.7,141622.74,111081.3,0.24,98991.03,-29285.35,22043.66,91749.34,33.24,15.65,17.43,5.85,7.34,1.42,11.6,1.2,1.08,11,2.13,232.98,1.57,6.22,58.66,8.46,43.15,17.07,0
NDR,1226244.67,317388.66,346891.51,906808.87,851479.06,800658.61,96323.86,51158.84,41633.51,0.13,58267.66,-20297.71,-6126.9,31843.06,5.02,4.43,18.52,4.92,6.01,0.35,12,1.66,1.06,1.54,0.74,5.12,71.35,7.37,49.49,8.56,42.64,78.2,0
NETBAY,639575.9,157611.45,200000,481964.46,405973.31,216443.17,204808.02,190071.51,165565.9,0.83,204529.66,-30581.28,-159885.55,14062.83,34.97,30.44,80.5,40.78,46.82,0.33,1424.4,3.79,1.01,17.24,0.65,,-,6.29,58.07,11.11,32.84,25.22,0
NEWS,840004.06,104989.78,75650197.65,735007.9,100788.41,144808.22,106355.86,99554.5,97270.4,-,-55868.66,25287.06,51822.03,21240.43,14.52,11.32,38.62,96.51,98.78,0.14,109.08,1.12,1.09,10.35,0.11,689.88,0.53,1.52,239.88,0.42,865.44,-625.03,0
NPK,463722.96,47951.98,100000,415770.97,150816.26,167474.73,-4250.46,-17981.07,-19307.49,-1.93,-622.78,-1678.22,-5385.39,-7686.39,-4.53,-3.77,2.1,-12.8,-11.92,0.12,-32.83,12.96,8.59,0.62,0.32,2.53,144.23,2.92,124.81,11.49,31.78,237.27,1
OTO,1002969.55,98771.26,559999.99,904198.3,657158.68,586835.17,115594.88,70323.51,55679.47,0.17,118758.56,-498534.51,266118.79,-113657.16,7.59,8.27,18.13,8.47,10.7,0.11,36.75,9.99,8.53,10.34,0.77,55.91,6.53,5.75,63.53,11.51,31.71,38.34,0
PACO,1145272.38,243961.72,500000,901310.66,709083.04,587731.38,189771.06,140983.75,107682.94,0.11,109755.52,-54285.4,-58955.1,-3484.98,15.72,12.99,24.95,15.19,19.88,0.27,21.5,3.43,1.18,1.53,0.65,1.39,263.38,5.95,61.38,5.4,67.63,257.12,0
PDG,764480.1,175999.51,135000,588480.58,685249.06,615876.15,122236.71,69372.91,55241.87,0.19,145941.24,-17604.7,-85493.39,42843.14,9.17,9.34,19,8.06,10.12,0.3,221.53,3.13,2.55,2.42,0.92,7.4,49.32,6.8,53.68,5.03,72.6,30.39,0
PHOL,636229.65,288064.4,202500.23,349467.89,1229823.41,1122185.06,113364.04,104995.55,81890.61,0.4,35311.38,-4636.33,-64221.01,-33545.96,24.16,16.9,23.46,6.66,8.54,0.83,38.02,1.87,0.96,12.89,1.98,4.97,73.47,6.85,53.25,5.75,63.46,63.26,0
PICO,646338.3,310144.62,215624.56,336319.71,678237.05,705579.97,-14839.47,-30779.53,-26355.58,-0.12,-77868.92,-1857.28,-5328.67,-85054.87,-7.54,-4.67,25.52,-3.97,-4.54,0.92,-13.5,1.92,1.37,4.98,1.03,,-,5.99,60.94,3.28,111.18,-50.24,0
PIMO,-,-,-,-,1030584.11,905725.94,154038.81,124858.17,102093.14,0.17,8475.81,3671.06,-34132.25,-21985.37,-,,18.87,9.91,12.12,-,893.7,-,-,,,,-,,-,,-,-,0
PJW,3028418.96,1838354.36,287039.97,1190064.6,3086795.36,2835361.08,500243.25,251434.29,169467.24,0.29,350330.6,-183372.48,-142549.23,24408.89,14.78,8.51,18.48,5.49,8.15,1.54,5.15,0.9,0.62,1.78,1.04,8.99,40.6,4.47,81.73,5.32,68.57,53.76,0
PLANET,834001.36,224129.25,375000,609872.11,435867.29,412132.86,57228.6,23949.84,6704.42,0.02,128461.45,-23149.4,41659.95,146972.01,1.31,2.92,29.38,1.54,5.49,0.37,2.55,4,2.4,2.6,0.53,6.45,56.58,1.87,195.07,3.43,106.56,145.09,0
PPM,1866440.34,923332.3,211000.05,943485.82,2080453.48,1918165.42,201666.54,139070.21,86836.83,0.21,-204863.35,-46393.28,231119.32,-20137.32,9.7,8.34,14.59,5.59,6.68,0.98,11.02,1.27,0.51,4.54,1.25,3.74,97.53,5.67,64.35,42.42,8.6,153.27,0
PPS,646773.73,341769.54,214963.79,306742.78,396561.7,359988.18,62363.57,43076.08,20870.19,0.02,-14750.21,9053.65,5140.06,-556.5,7.1,6.97,26.24,5.05,10.86,1.12,2.26,2,0.58,9.9,0.64,,-,3.75,97.37,6.88,53.03,44.34,0
PRAPAT,1115536.75,639875.23,170000,452872.28,747750.72,729237.2,106742.02,18513.53,-12794.07,-0.03,58581.99,-96575.53,9902.29,-28091.25,-2.77,1.67,41.03,-0.83,2.48,1.35,1.04,1.1,0.66,1.69,0.67,2.33,156.52,4.39,83.12,4.15,87.93,151.72,0
PROEN,1078605.35,658825.53,158000,419765.35,1061563.53,1014617.88,80213.97,46945.65,29158.01,0.1,26626.44,-181588.09,205469.76,50508.11,10.23,5.38,13.8,2.75,4.42,1.57,4.81,1.42,1.21,7.2,1.22,14.7,24.83,2.93,124.59,2.54,143.54,5.88,0
PROS,987100.05,452477.59,270000,527410.02,1036850.36,990012.22,55413.26,46838.14,36675.31,0.07,-109694.31,27159.72,185520.15,102985.55,8.94,5.71,12.28,3.58,4.52,0.85,42.14,1.9,1.13,11.08,1.26,22.44,16.26,4.16,87.75,2.69,135.61,-31.59,0
PROUD,3988156.81,3392242.86,641469.42,595913.94,3617.86,101973.39,-82655.5,-98355.54,-97237.21,-0.15,-974810.73,-774.46,1102680.91,127095.72,-15.08,-3.28,,-2687.7,-2718.61,5.69,-5.73,1.86,0.14,0.24,0,-,,-,,-,,-,0
PSG,1291547.34,91205.89,64992438.16,1200341.45,44582.11,104651.27,-56610.88,-60069.16,-63129.01,-,-48439.06,11501.31,1078959.18,1042021.44,-9.26,-7.61,-8.32,-141.6,-134.74,0.08,-34.64,16.98,16.78,2.14,0.06,,-,1.97,185.02,0.56,657.64,-472.62,0
PSTC,7666344.02,2566495.22,1185974.79,5093280.09,2318972.18,2385741.27,40198.57,-45469.68,-671522.05,-0.28,201656.78,-445929.36,186948.94,-57323.65,-12.38,-0.57,10.24,-28.94,-1.96,0.5,-0.73,0.82,0.22,1.16,0.29,21.83,16.72,4.26,85.74,3.62,100.86,1.61,1
QLT,506884.27,69734.52,98568.49,433358.84,392113.79,384991.05,33693.73,7122.74,6605.56,0.07,55855.75,-18147.62,-24084.87,13623.26,1.5,1.39,21.48,1.67,1.82,0.16,10.22,7.57,5.69,2.24,0.77,31.59,11.55,4.37,83.43,8.47,43.11,51.87,0
RP,1193303.77,485170.25,200811.61,708133.52,372809.01,498100.86,-286.63,-125291.85,-110105.74,-0.55,10290.11,-79349.77,36627.42,-32432.24,-14.56,-10.32,-16.45,-29.53,-33.61,0.69,-9.02,0.64,0.55,0.37,0.31,28.94,12.61,14.95,24.41,8.8,41.5,-4.47,1
RWI,1764123.82,391867.08,318727.59,1372256.74,891323.28,806210.27,213308.14,183693.19,179916.01,0.29,-66895.07,-63528.69,467251.05,336827.29,16.77,12.7,14.67,20.19,20.61,0.29,14.5,5.3,4.27,3.41,0.62,4.79,76.21,3.96,92.13,17.26,21.15,147.19,0
SAAM,429122.29,123333.24,150000,305785.75,75432.37,39145.29,46378.91,36287.08,27702.28,0.09,66050.68,-45601.04,-39435.04,-18985.4,9.25,8.65,73.69,36.71,48.11,0.4,11.49,3.38,3.08,0.57,0.18,1.75,207.98,8.75,41.71,7.56,48.25,201.44,0
SALEE,1939180.97,345909.03,380121.02,1227849.41,1306729.61,1300734.68,142841.54,5994.93,781.13,-,36916.48,-126638.82,-73343.01,-163065.35,0.06,0.31,18.07,-1.2,0.46,0.22,1.18,3.4,2.04,1.53,0.67,5.5,66.35,4.1,89.07,7.19,50.77,104.65,0
SANKO,500643.16,313805.41,154271.93,186837.75,651249.11,632093.11,51265.36,19156,13503.61,0.04,710.12,-6460.03,3518.89,-2231.02,7.5,4.1,13.36,2.07,2.94,1.68,2.52,1.01,0.57,2.66,1.39,7.64,47.76,6.42,56.9,5.63,64.88,39.78,0
SE,488160.18,155148.18,311998.99,331131.42,498090.23,471225.01,56514.19,47805.44,34870.37,0.08,69478.84,-257369.61,142471.26,-45419.52,10.01,9.9,26.74,8.03,9.6,0.47,29.21,1.73,1.22,12.27,1.03,7.69,47.47,3.97,91.84,4.16,87.73,51.58,0
SEAOIL,3096597.36,1419316.44,649507.47,1648009.4,11354130.21,11357037.86,311859.4,266640.49,230945.67,0.36,-61687.85,338276.26,-47532.67,229055.75,15.14,10.06,2.21,2.11,2.35,0.85,12.93,1.27,1.23,60.59,4.28,995.06,0.37,11.91,30.66,17.08,21.37,9.66,0
SECURE,736016.56,162542.66,51370.5,573473.9,826344.84,749393.92,86039.21,74868.93,61114.83,0.69,37877.56,-44861.02,369455.05,362471.59,17.79,14.38,18.93,7.4,9.06,0.28,53,4.73,4.42,30.57,1.59,14.07,25.94,5.34,68.3,5.4,67.6,26.64,0
SELIC,1756915,1088830,228999,668082,1466032,1340426,180978,125606,81527,0.18,105504,-100201,-58890,-53587,13.71,7.44,24.2,5.56,8.57,1.63,5.9,1.65,0.85,4.45,0.87,3.29,110.87,4.79,76.25,4.73,77.23,109.89,0
SENX,6044676.34,2283231.97,2100000,3761444.37,1297725.53,1533469.04,-203167.06,-235743.51,-346724.46,-0.08,568519.54,488995.2,-1038711.6,18803.14,-8.81,-3.54,1.26,-26.72,-18.17,0.61,-2.16,2.22,0.14,21.22,0.19,0.24,1518.39,5.76,63.33,3.06,119.25,1462.47,1
SFT,943791.64,205763.72,220000,738027.91,796716.29,666040.14,196361.37,145449.93,111745.31,0.25,76518.93,-32008.93,-56144.41,-11634.4,16.01,16.28,28.41,14.03,18.26,0.28,25.3,3.99,2.44,2.7,0.89,3.41,106.89,4.93,73.99,5.97,61.17,119.71,0
SGF,2594980.99,853941.66,1637500,1741039.33,414149.32,297848.57,132116.08,116300.75,56955.63,0.04,-260801.22,-35664.15,287272.69,-9192.67,3.33,4.79,85.45,13.75,28.08,0.49,1.96,1.81,0.07,-,0.17,,-,,-,,-,-,0
SICT,484813.06,90201.93,200000,394611.13,430755.8,360176.97,75496.75,64659.18,64037.62,0.16,60989.59,-50172.89,-20834.36,-10017.66,17.22,14.31,52.78,14.87,15.01,0.23,93.92,5.14,2.98,15.17,0.95,1.96,186,6.81,53.61,5,73.04,166.57,0
SIMAT,1760668.69,607559.21,648564.61,951823.45,980399.3,827955.29,274284.8,152474.07,74241.94,0.12,-138498.71,124653.09,-67277.46,-81123.07,10.13,8.77,37.16,10.12,15.55,0.53,5.15,1.79,0.62,2.67,0.56,6.65,54.87,5.02,72.66,3.33,109.7,17.82,0
SK,530095.88,175714.95,230000,354380.72,636328.26,604722.38,47788.78,32418.16,24854.56,0.05,6832.49,-16217.69,-3934.07,-13319.27,7.17,6.38,19.6,3.91,5.09,0.5,32.62,2.79,1.36,4.59,1.25,6.15,59.33,7.25,50.34,8.59,42.47,67.2,0
SLM,134946.62,86899.94,128077.7,48046.68,180872.24,170662.42,13411.89,10209.83,10072.96,0.05,-24226.96,-1278.09,54102.53,28597.47,67.83,10.34,34.79,5.57,5.64,1.81,40.11,1.41,0.91,33.24,1.83,91.89,3.97,7.33,49.76,2.12,171.91,-118.17,0
SMART,722299,114829,520783,607470,459481,409087,97746,50394,39869,0.04,87015,-10033,38855,115837,7.11,7.42,22.54,8.68,10.97,0.19,23.61,3.51,3.02,1,0.68,10.43,35.01,5.5,66.34,5.7,64.04,37.3,0
SMD,1377124.33,479265.82,107000,897858.51,1622724.52,1207350.63,435371.42,406867.25,319842.7,1.69,143258.52,-36428.27,352013.24,458843.49,57.02,40.28,38.93,19.71,25.07,0.53,36.54,2.89,1.97,12.48,1.61,3.88,94.13,7.22,50.53,15.04,24.28,120.38,0
SONIC,1657097.41,628766.29,358659.4,1014745.12,3374844.53,3072316.96,335013.47,302527.57,226140.17,0.39,82408.82,-214646.03,258593.55,126356.34,27.27,22.54,16.09,6.94,8.96,0.61,31.38,1.88,1.81,5.98,2.51,,-,7.1,51.39,20.94,17.43,33.96,0
SPA,2257836.92,1639345.19,213749.98,618488.87,174943.09,426211.01,75476.66,-251267.91,-286718.58,-0.34,-80896.45,-24932.6,101156.78,-4672.27,-37.63,-10.28,-90.03,-163.89,-143.63,2.65,-5.69,0.54,0.33,0.12,0.07,9.35,39.03,7.21,50.63,7.8,46.81,42.84,1
SPVI,791784.71,299732.51,200000,492052.21,5573258.93,5408013.9,242125.71,165245.03,125561.64,0.31,304716.36,-42384.96,-207856.64,54474.77,27.77,19.96,9.7,2.25,2.96,0.61,19.29,2.8,0.96,25.36,6.73,12.81,28.48,76.78,4.75,39.63,9.21,24.03,0
SR,2403209,1513689,338350,860972,942323,1041802,673,-81164,-129774,-0.19,214406,-237504,21880,-1218,-13.99,-3.36,9.3,-14.74,-8.61,1.7,-3.81,0.97,0.66,1.33,0.39,6.93,52.63,2.64,138.42,3.26,111.92,79.13,1
SSS,241648.47,23825.44,238636.98,217823.04,8961.97,-8068.88,19194.42,17030.85,12988.2,0.04,-27507.78,97014.19,-64012.68,5493.73,9.15,5.98,,144.93,190.03,0.11,4.21,3.32,1.24,0.08,0.03,,-,-,,-,,-,0
STC,588334.85,216696.6,284000,371638.25,422326.87,413279.63,38432.61,7539.24,3007.06,0.01,40085,-44246.33,4290.22,128.89,0.8,1.3,26.18,0.71,1.79,0.58,2.12,0.88,0.66,1.07,0.73,7.77,46.97,3.65,100.1,4.09,89.25,57.82,0
STOWER,851741.44,234373.34,2632981.72,634492.71,250409.69,278347.57,-20647.25,-32651.37,-50710.65,-,-212397.72,85154.18,319694.08,192450.54,-12.67,-4.27,-29.9,-20.21,-13.04,0.38,-2.41,2.98,2.35,0.72,0.33,1.8,202.91,2.22,164.09,1.63,224.43,142.57,1
SWC,1217819.1,503966.66,163522.21,693486.53,1832707.96,1618715.19,253680.84,213992.77,146200.76,0.45,275418.16,-32002.44,-204938.18,38477.54,21.74,18.21,40.88,8.27,11.68,0.71,112.32,1.86,1.26,5.35,1.56,4.62,79.01,6.13,59.59,3.73,97.95,40.65,0
TACC,1064608.72,322178.68,152000,742430.05,1346483.54,1083619.08,292324.93,268514.02,214239.36,0.35,223029.62,-88026.19,-202070.46,-67067.02,29.25,25.87,38.02,15.91,19.94,0.43,249.34,3.16,1.39,12.74,1.3,18.04,20.23,5.33,68.51,3.69,98.98,-10.24,0
TAKUNI,2722319.1,1374134.77,400000.12,926533.5,2760015.89,2543168.17,315755.66,218656.51,63150.57,0.08,320155.46,-64643.55,-202288.05,53223.87,6.94,8.47,13.02,5.48,7.92,1.02,8.72,1.4,0.77,3.85,1.07,36.17,10.09,8.2,44.5,5.8,62.96,-8.37,0
TAPAC,2573117,1625953,411864,916002,2616936,2552497,214365,88316,3304,0.01,-313904,302602,55677,44375,0.35,3.47,11.93,0.1,3.37,1.72,1.74,1.04,0.3,4.98,1.03,3.36,108.6,7.85,46.5,6.11,59.69,95.41,0
THANA,975947.58,565015,253212,398731.36,306958.81,310426.54,22703.56,19532.29,23006.5,0.09,-191794.06,-74668.69,268539.85,2077.1,5.99,2.4,25.41,6.34,6.36,1.37,1.76,1.66,0.21,45.76,0.38,0.38,965.71,4.7,77.72,4.02,90.84,952.59,0
THMUI,644239.8,266113.39,170000,368708.9,354147.63,349744.05,23796.61,4403.58,501.63,-,-8223.84,-3211.58,-12299.1,-23734.53,0.14,0.69,37.54,-0.22,1.24,0.7,0.77,2.58,0.9,4.15,0.55,0.91,402.73,3.83,95.31,3.04,119.98,378.06,0
TIGER,832183.98,229894.08,230000,602009.08,724435.4,684790.53,57829,39462.69,31175.19,0.07,-130675.62,86538.2,13349.35,-30788.08,5.13,4.98,11.68,4.17,5.45,0.38,41.68,3.17,0.98,9.17,0.91,223.96,1.63,4.42,82.52,5.95,61.32,22.82,0
TITLE,1478449.06,884859.83,362812.75,593589.23,76039.24,210429.48,-124919.72,-134390.24,-114069.52,-0.16,-108954.3,-24315.93,89268.15,-44002.08,-17.53,-9.38,-72.57,-150.01,-176.74,1.49,-17.95,1.27,0.11,1.13,0.05,0.17,2099.15,,-,24.95,14.63,2084.53,0
TM,841226.98,334904.79,153999.99,447239.39,675446.82,620326.75,68186.78,50209.43,30499.92,0.1,42805.03,-92206.09,34250.54,-15150.52,6.82,6.37,37.95,4.4,7.43,0.66,9.99,1.99,1.28,3.39,0.86,2.55,143.1,3.31,110.14,7.73,47.22,206.02,0
TMC,709117.09,380594.64,458773.72,328522.45,303737.83,333966.78,-4086.49,-30228.95,-41022.28,-0.09,-31610.89,3335.36,15760.73,-12514.8,-11.74,-4.21,10.29,-13.51,-9.95,1.16,-2.8,0.42,0.12,0.83,0.42,2.97,122.8,7.59,48.1,3.29,111.02,59.88,0
TMI,626705.7,397948.57,167860.22,195873.16,486559.28,478107.56,29444.82,8451.72,552.8,-,32753.31,-130524.36,99397.14,1626.09,0.28,1.55,31.53,-0.49,1.74,1.74,0.74,1.34,0.8,2.11,0.89,3.55,102.76,3.61,101.12,4.12,88.5,115.38,0
TMILL,1824311.34,764546.21,398664.06,1059765.13,1485612.29,1341304.55,209309.55,151110.28,112681.61,0.28,-271166.46,-18757.98,300667.58,10743.13,10.8,9.42,19.14,7.58,10.17,0.72,15.99,1.98,0.54,2.15,0.93,2.28,160.31,7.56,48.29,18.81,19.4,189.2,0
TMW,3220219,673553,199500,2546666,3028302,2863670.06,450357.94,164631.94,137823.17,3.45,406358.9,-193768.67,-133689.59,78900.65,5.54,5.16,15.32,4.55,5.44,0.26,41.26,2.22,1.7,1.68,0.95,10.29,35.46,5.68,64.23,5.62,65,34.69,0
TNDT,1171182.66,689427.46,120470.62,493788.36,325807.65,306915.29,47071.69,18892.36,-26902.68,-0.04,42376.75,-60993.99,21663.3,3046.06,-5.55,1.65,28.95,-8.33,5.8,1.43,0.47,0.39,0.13,0.54,0.29,44.84,8.14,3.93,92.76,52.92,6.9,94,1
TNH,2791231,472505,180000,2318726,2433536.89,1897831.7,622461.54,535705.19,433841.82,2.41,335154.99,-20473.2,-90000,224681.79,20.25,20.97,30.4,17.83,22.01,0.2,,4.15,2.35,2.06,0.95,44.19,8.26,8.69,41.99,10.16,35.92,14.33,0
TNP,1189307.08,279762.51,200000,909544.58,2638325.28,2399623.32,286040.91,238701.95,192097.37,0.24,231136.68,-114740.56,-76514.28,39881.84,22.6,21.49,17.14,7.28,9.05,0.31,111.14,2.25,0.79,4.05,2.38,7.82,46.67,143.89,2.54,13.03,28.01,21.2,0
TPCH,9526684.97,5778128.94,401200,2885805.92,2477879.37,2019255.12,813021.64,460097.58,135404.64,0.34,127928.16,-745668.87,1066738.96,448998.25,4.63,5.05,23.64,11.59,18.57,1.54,2.84,1.21,0.81,0.34,0.27,33.99,10.74,4.95,73.67,5.53,66,18.41,0
TPLAS,380988.52,60066.03,135000,320922.5,511072.52,469542.5,53882.7,41530.02,33909.92,0.13,25743.88,-8832.34,-27746.44,-10834.9,10.72,11.01,18.61,6.64,8.13,0.19,823.03,3.96,2.76,2.58,1.35,8.56,42.62,8.27,44.12,10.19,35.82,50.93,0
TPS,774214.33,367031.34,167999.94,405123.51,589248.88,543834.19,57560.44,45414.68,38740.7,0.12,45262.26,-3368.81,-14242.4,27651.05,9.91,6.54,31.14,6.27,7.71,0.9,99.97,1.82,1.1,3.83,0.85,4.61,79.12,3.88,93.96,2.28,160.15,12.93,0
TQR,547358.39,88146.27,115000,457884.97,256366.03,134732.36,128527.33,121633.67,97482.99,0.44,40703.27,-246971.4,252926.1,46657.97,34.85,31.99,74.93,38.02,47.45,0.19,165.04,9.31,5.98,24.13,0.67,,-,8.84,41.27,1.19,306.12,-264.85,0
TRT,2811229.78,1692539.69,308008.27,1145119.32,2044428.06,1902626.24,227902.33,145215.47,72626.06,0.24,489228.98,-23394.72,-494301.19,-28466.93,6.52,4.72,23.15,3.4,7.1,1.51,3.03,1.48,0.84,2.6,0.66,2.02,180.33,2.35,155.63,4.29,85.05,250.91,0
TRV,366892.35,67191.48,105000,299700.88,178571.83,146267.11,43572.32,32304.72,24152.4,0.15,32577.9,-2606.18,77203.62,107175.34,10.21,10.17,39.42,13.53,18.09,0.22,17.14,4.09,3.73,1.2,0.56,8.47,43.08,4.1,89.03,3.18,114.77,17.34,0
TURTLE,501769.61,165153.84,365549.29,336615.66,116571.12,118045.56,13007.46,-1474.44,43118.52,0.12,-29848.75,129015.75,-15738.53,83428.47,14.22,-0.33,40.13,36.99,-1.26,0.49,-2.43,5.13,4.46,1.5,0.26,3.34,109.26,2.12,172.31,1.33,274.34,7.24,0
TVDH,1379776.18,795081.54,447707.46,543909.9,2756070.9,3067018.22,-160387.78,-307503.39,-259815.62,-0.3,-336568.2,-73480.08,299774.49,-110273.79,-41.82,-23.1,37.73,-9.64,-11.16,1.36,-48.08,0.82,0.38,5.58,2.07,8.35,43.69,14.75,24.74,5.54,65.91,2.52,1
TVT,744013.4,112319.84,200007.52,630559.56,303756.86,279653.09,39157.49,24103.76,22032.16,0.03,32316.67,-47820.64,-2407.64,-17911.61,3.56,3.32,34.88,7.44,7.94,0.18,18.2,2.95,2.19,0.78,0.42,4.28,85.35,5.72,63.82,4.17,87.62,61.55,0
UBIS,977579.98,478093.29,227999.99,499486.68,1167466.49,1129005.1,83578.64,62494.67,54695.74,0.24,-38966.25,-21455.21,93183.33,32761.87,11.23,6.89,21.74,4.68,5.35,0.96,20.4,1.66,0.97,4.43,1.29,3.91,93.24,3.44,105.99,4.93,73.97,125.26,0
UEC,1401526.67,105339.57,142627.65,1296187.1,468872.29,462688.74,55878.27,13492.12,13665.87,0.02,104489.76,-1333.21,-57747.81,45408.74,1.05,0.94,19.79,2.91,2.88,0.08,154.02,16.09,11.7,0.9,0.33,3.13,116.54,5.81,62.79,7.3,50.03,129.3,0
UKEM,2311058.73,1100322.29,290513.06,1031233.17,3040418.22,2890138.08,192417.81,153089.55,116201.24,0.1,-234775.44,44245.26,35792.43,-154737.75,11.32,7.06,14.23,3.5,5.04,0.91,14.87,1.84,1.22,12.65,1.4,5.83,62.56,4.09,89.26,8.93,40.85,110.96,0
UMS,655015.52,481126.17,572599.8,173889.36,198519.07,232197.48,-3084,-33678.41,-51557.82,-0.05,-23927.35,-31047.1,-169791.2,-224765.64,-25.81,-4.52,8.38,-25.97,-16.96,2.77,-1.88,0.21,0.17,0.53,0.27,19.89,18.35,4.63,78.75,4.27,85.43,11.67,1
UREKA,1092832.79,330131.18,335350.4,759169.21,159095.42,139254.9,41865.25,19840.52,20986.89,0.02,-27173.11,74798.05,32598.41,80223.36,3.92,2.37,49.92,12.3,12.47,0.43,,1.02,0.91,0.34,0.19,4.08,89.36,2.4,151.81,0.73,500.58,-259.42,0
VCOM,1285326.06,672382.68,153502.6,561107.39,1877613.39,1700172.63,221242.9,193662.72,126540.44,0.42,223804.52,-66522.91,-272386.03,-115104.42,25.01,14.1,21.66,7.87,10.31,1.1,25.1,1.41,1.25,47.65,1.37,115.21,3.17,2.96,123.46,3,121.56,5.07,0
VL,1951962.62,1057112.7,483346.35,894849.92,669512.02,603176.94,180350.6,66335.09,23110.02,0.03,160558.08,-265794.07,110997.84,5761.84,2.67,3.57,16.87,3.45,9.91,1.18,1.79,1.92,1.32,0.45,0.36,29.15,12.52,8.73,41.79,13.45,27.13,27.19,0
