symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
CRD,1051150.43,682964.03,250000,355578.66,891923.19,875292.55,50645.62,21338.18,8099.6,0.02,13219.04,-127647.44,114971.92,543.51,2.3,2.26,6.9,1.04,2.39,1.85,2.41,1.01,0.68,3.21,0.95,26.01,14.03,2.87,127.18,7.58,48.15,93.06,0
D,1108296.19,656883.32,143999.86,451403.66,534392.24,544147.57,26051.28,-9755.33,-24234.35,-0.08,34416.93,-12595.1,-28986.79,-7164.96,-5.21,-0.87,25.83,-4.53,-1.83,1.46,-0.62,1.32,0.68,0.91,0.48,2.62,139.29,4.75,76.87,4.45,81.96,134.19,0
DHOUSE,733005.92,282921.02,420000,450084.9,61999.78,66566.89,-2589.47,-4567.11,-6827.36,-0.01,-6065.07,-6059.16,-85050.65,-97174.88,-1.46,-0.58,33.74,-11.01,-7.37,0.63,-1.16,0.67,0.14,1.46,0.08,0.28,1284.13,2441.79,0.15,21.26,17.17,1267.11,1
DIMET,393324.97,113757.55,932561.78,279567.43,145558.28,230647.57,-81521.71,-85901.09,-89252.9,-0.05,-35926.66,7581.98,134439.28,106094.6,-38.92,-23.62,19.97,-61.32,-59.01,0.41,-22.69,2.47,2.21,2.28,0.4,4.26,85.74,2.39,152.78,2.24,162.69,75.83,1
DITTO,1342900.34,310011.68,220000,1032887.9,1093640.66,889269.89,309004.14,252490.47,200682.75,0.48,145472.38,-46942.82,303068.4,401597.96,29.39,23.86,29.58,18.35,23.09,0.3,42.54,3.78,2.46,4.91,1.03,20.95,17.42,5.45,66.93,7.99,45.69,38.67,0
DOD,1626994.99,364700.27,205000.25,1280554.68,1018598.6,746822.52,338819.11,271776.08,49789.54,0.12,145002.01,-71677.26,-54649.59,18675.16,3.99,16.17,42.81,1.9,26.68,0.29,40.47,2.42,1.93,1.12,0.61,3.23,113.08,3.28,111.15,3.03,120.28,103.94,0
DPAINT,991552.07,392513.99,230000,599675.31,760541.94,683696.9,89759.24,76845.05,52586.23,0.28,17481.45,-33257.43,211061.93,195285.96,13.05,9.26,41.27,6.95,10.1,0.66,9.94,1.94,1.62,4.36,0.92,5.28,69.11,2.89,126.25,1.82,201.05,-5.68,0
DV8,536530.85,79372.18,1430416.19,442131.99,204422.54,245748.03,-27897.71,-43307.28,-47382.49,-0.03,-43467.82,-159185.27,-2306.71,-204959.81,-10.19,-7.53,12.57,-22.81,-21.19,0.17,-21.34,7.46,6.37,7.7,0.36,5.04,72.36,1.38,264.1,2.99,122.15,214.31,1
ECF,3756203.01,2429591.66,239871.9,1303228.29,1592188.13,1445707.83,231938.38,187511.96,50850.34,0.05,128216.09,-285492.05,-7458.12,-164734.08,4.01,5.14,20.16,3.2,11.78,1.83,1.39,1.19,0.29,2.77,0.44,0.92,396.07,3.8,95.96,4.76,76.62,415.41,0
EFORL,1677188,1284302,2998399,392886,2178633,1904218,887707,826840,812030,0.02,-52972,-101065,273390,119353,144.11,51.14,33.58,35.7,37.95,3.27,16.91,1.54,0.76,6.7,1.35,3.12,116.93,4.16,87.78,2.73,133.59,71.12,0
ETE,1865437.32,979936.25,280000,881647.43,1387809.39,1316841.39,122286.41,70572.7,26744.51,0.05,236149.32,-155659.39,-63217.28,17272.65,3.04,3.7,14.46,1.87,5.09,1.11,1.93,1.23,0.55,1.39,0.73,8.45,43.17,4.84,75.45,6.56,55.66,62.96,0
